column1,id,actual_price,average_rating,brand,category,discount,out_of_stock,seller,selling_price,sub_category
27023,7f6224c4-8141-5fea-8a50-cd7c88fdfcf1,1299,4.199999809,Pu,Clothing and Accessories,45,FALSE,RetailNet,714,Topwear
23134,7f647137-aa95-5f92-af22-9b597cecf666,1020,4.199999809,ARBO,Clothing and Accessories,62,FALSE,ARBOR,379,Topwear
6082,7f68f54c-93b3-5c15-b824-71ed68937533,1299,4.099999905,M7 By Metrona,Clothing and Accessories,65,FALSE,RetailNet,454,Topwear
7518,7f6ae146-8dd8-5a72-b126-b10fdd53e37e,2998,3.799999952,Inspi,Clothing and Accessories,66,FALSE,priyayarn,999,Bottomwear
20627,7f6ed47a-7980-56b7-8b69-ffcef0e14463,599,3.700000048,FLEXIM,Clothing and Accessories,50,FALSE,Flexikaart,299,Topwear
16622,7f7030ed-0fde-5cb3-b059-79ec8ae54844,999,3.400000095,Urban D,Clothing and Accessories,60,FALSE,VRS FASHIONS PVT LTD,399,Bottomwear
2410,7f708754-22f2-52fb-937b-8525804fabd8,3699,3.900000095,REEB,Clothing and Accessories,51,FALSE,Tayab Manch Fashions,1801,Winter Wear
13419,7f718f30-6100-5fec-b21d-638c2fb24a39,1899,3.400000095,Amp,Clothing and Accessories,61,FALSE,AFFGARMENTS,725,Topwear
14861,7f763b4a-1a79-5f8e-a827-71a104fdac77,1499,4,Scott Internation,Clothing and Accessories,66,FALSE,switzinc,499,Topwear
554,7f79b4e6-12d0-521a-accc-73b0229645dc,799,3.5,Fairdea,Clothing and Accessories,53,FALSE,Wildclass,369,Innerwear and Swimwear
3430,7f7ba58c-7cfc-5a95-9a6b-e7a085c2dfc6,1499,4,Zack Fo,Clothing and Accessories,70,FALSE,KrishnamEnterprisaes,444,Topwear
1582,7f7c628c-54dd-555d-8b0e-c2c4e409da03,1199,4.699999809,Bindass Bo,Clothing and Accessories,45,FALSE,BuaGi Collection,649,Bottomwear
28106,7f7e9ec6-8275-572d-9dc7-90bb5020e56a,1799,4,GOT ,Clothing and Accessories,22,FALSE,GOTIT,1399,Topwear
27597,7f813c23-bebf-5cb7-b655-4b3bd8f1774d,1299,4.300000191,Pu,Clothing and Accessories,65,FALSE,RetailNet,454,Topwear
10135,7f824717-0907-5c01-8cb9-f9416315d4d6,5999,2.799999952,Breakboun,Clothing and Accessories,50,FALSE,BREAKBOUNCE,2999,Winter Wear
23426,7f83e1af-306c-5342-b1f5-3f4ea5ad4076,539,4.300000191,ARBO,Clothing and Accessories,38,FALSE,ARBOR,331,Topwear
24930,7f850665-281e-5e8d-aa48-e28ab2f5039f,699,3.900000095,Free Authori,Clothing and Accessories,35,FALSE,BioworldMerchandising,454,Topwear
21068,7f876397-5d49-5f34-b6fa-37255f24cd5f,999,2.799999952,chawla fashi,Clothing and Accessories,62,FALSE,CHAWLA FASHION,379,Topwear
9453,7f878029-fde1-5a9b-966a-11b7057e0ad8,1499,4.099999905,Lucky Bi,Clothing and Accessories,44,FALSE,STORM CYBER PUNK,829,Topwear
25819,7f87844f-3020-594a-9d6e-b22d98fb556c,1095,5,Mah,Clothing and Accessories,64,FALSE,Mahir Apparels,390, Kurtas Ethnic Sets and Bottoms
25525,7f8ce046-63bc-5f10-9fc8-297e7ff2ed22,1799,3.900000095,Free Authori,Clothing and Accessories,50,FALSE,BioworldMerchandising,899,Winter Wear
302,7f90af1c-d138-5dc3-ae55-acce0b4e4fb9,1999,3.400000095,adidas Origina,Clothing and Accessories,50,FALSE,RetailNet,999,Topwear
23055,7f93391f-15ba-58a5-a8b6-cf9659ee9142,998,4.199999809,ARBO,Clothing and Accessories,42,FALSE,ARBOR,569,Topwear
17503,7f975d80-9619-59a9-9fbf-2e66839965c2,399,3.700000048,Welwe,Clothing and Accessories,37,FALSE,Eishitenterprises,249,Clothing Accessories
17356,7f98b3d0-1a44-5a6c-bef2-fbfc84691d05,900,3.700000048,RBSO,Clothing and Accessories,44,FALSE,Jiggli,499,Innerwear and Swimwear
19123,7f99afc4-ece2-51db-aab3-fe33c7f18b8c,1200,3.799999952,yellowvib,Clothing and Accessories,70,FALSE,AMALGUS ENTERPRISE,350,Topwear
13864,7f99b751-f864-53aa-8d2c-6c7539e53bd2,899,4.099999905,rockha,Clothing and Accessories,66,FALSE,Rockhard tshirts,299,Topwear
4120,7f9a4181-2ba1-5911-bdf6-08a4e94db71d,799,4.300000191,limited colou,Clothing and Accessories,56,FALSE,Limited colours,349,Topwear
27143,7fa1bee3-9c5e-598e-ac54-7dd647246b62,3499,3.799999952,Pu,Clothing and Accessories,35,FALSE,RetailNet,2274,Topwear
28505,7fa2d96a-7619-5a4d-86f8-b67c2a1f623b,999,3.200000048,vims rai,Clothing and Accessories,60,FALSE,WHITE SKY,399,Fabrics
10364,7fa49826-fa17-5ae6-a6be-762117dada01,899,4,Gracew,Clothing and Accessories,33,FALSE,GRACEWAY,599,Clothing Accessories
17357,7fa5532c-6571-5a97-bfee-2839ff3e8a28,900,3.700000048,RBSO,Clothing and Accessories,44,FALSE,Jiggli,499,Innerwear and Swimwear
18196,7fb3e076-ac76-5193-82fb-bc6c820c2ad6,849,4.099999905,Black Beat,Footwear,63,FALSE,Black Beatle,308,Men's Footwear
8448,7fb6aef6-f847-59a4-b0d1-af92810d8b94,739,4.099999905,veerutess landing sty,Clothing and Accessories,59,FALSE,Venus Fashion,299,Topwear
8059,7fb77783-acaf-517a-91ed-387150485b5c,1499,4.099999905,NEBRAS,Clothing and Accessories,53,FALSE,FRESHAPP,699,Bottomwear
2497,7fb78f5f-8d68-597e-914c-c233ebb60a36,2999,4.5,REEB,Clothing and Accessories,33,FALSE,RetailNet,2009,Topwear
7268,7fb94417-f87b-5ad6-8a7e-82aef6ce2e9e,2599,2.900000095,Dudli,Clothing and Accessories,34,FALSE,DudlindFashion,1699,Topwear
28258,7fbefe12-8710-5e26-919f-889979bb77b0,999,3.599999905,NEVER LO,Clothing and Accessories,62,FALSE,TECH TRONICS,379,Topwear
29077,7fbf8e92-4798-56ff-99d0-e69acf3f2cd8,749,3.900000095,Keo,Clothing and Accessories,55,FALSE,Keoti,331,Topwear
13151,7fc20af8-8897-528c-aeee-e52a3a4f9281,3399,2.299999952,ATTIITU,Clothing and Accessories,69,FALSE,ATTIITUDE,1049,Bottomwear
11077,7fc316a9-c1a9-5814-9609-d266f36149b2,2499,3.599999905,True Bl,Clothing and Accessories,60,FALSE,KAPSONSRETAILPVTLTD,999,Bottomwear
13204,7fc47af4-d9ec-58f0-afe2-c10775cf436e,1499,4.300000191,Amp,Clothing and Accessories,64,FALSE,AFFGARMENTS,525,Topwear
4557,7fc53d91-a2fd-505d-9de7-24a4df5549ab,2999,4,FOREVER YOU,Clothing and Accessories,65,FALSE,SH APPAREL ONLINE,1048,Topwear
13627,7fc85dae-c43d-53a5-ae55-610fa879c898,1899,3.400000095,Amp,Clothing and Accessories,61,FALSE,AFFGARMENTS,725,Topwear
28244,7fca3e0b-0d0a-5364-b5ee-90f345ac08a9,1249,3.900000095,Tees Collecti,Clothing and Accessories,64,FALSE,TC001,449,Topwear
7229,7fcaf8e2-aeb6-5eb6-821c-a4162f963f8c,2599,2.900000095,Dudli,Clothing and Accessories,34,FALSE,DudlindFashion,1699,Topwear
12540,7fcccd28-653d-50c6-9939-b450628a0f07,1049,2.5,ECKO Unl,Clothing and Accessories,30,FALSE,SandSMarketing,734,Topwear
4819,7fd25048-2e75-556a-9f89-a9e60ef259de,1497,3.599999905,Shoef,Clothing and Accessories,58,FALSE,SHOEFLY,616,Topwear
4786,7fd46884-48b0-53ad-891d-151c08bbffda,1497,3.599999905,Shoef,Clothing and Accessories,58,FALSE,SHOEFLY,616,Topwear
21753,7fd5c934-e90a-52b8-8cd3-130581977e93,999,2.299999952,T10 Spor,Clothing and Accessories,50,FALSE,T10Sports,499,Topwear
7560,7fd69739-6801-50dd-8d97-7125b6c02b96,1499,3.599999905,Inspi,Clothing and Accessories,62,FALSE,InspireFashions,569,Inspire Clothing and Accessories
3856,7fda0dc2-78bd-5c5f-80e7-6d0c67932777,1999,3.400000095,Crocks Cl,Clothing and Accessories,60,FALSE,crockscl,799,Topwear
15222,7fdacd05-9177-5ad4-a0b6-d813b50d1eaf,1599,4,Lev,Clothing and Accessories,50,FALSE,KONDEFASHIONS,799,Topwear
22294,7fdf564e-fc36-5ae0-8b22-f5265ce6c6b3,750,2.799999952,GLO,Clothing and Accessories,66,FALSE,Glodt,249,Innerwear and Swimwear
28913,7fe06001-0c75-5260-b133-55ac4bd5825b,599,3.900000095,Keo,Clothing and Accessories,44,FALSE,Keoti,331,Topwear
24287,7fe233bc-cdd8-5d60-a2ec-ba8a89593f7b,2999,2.799999952,A,Clothing and Accessories,66,FALSE,ARYACITION,999,Topwear
5815,7fe27520-29e6-5685-9e84-4953f589ba03,999,4.400000095,SATDEVANGIKHADIBHAND,Clothing and Accessories,40,FALSE,Satdevangi Khadi Bhandar,599, Kurtas Ethnic Sets and Bottoms
5168,7fe39e26-3e09-5d72-8cd8-be7da5e292ee,999,4.400000095,Bone,Footwear,52,FALSE,Manojsunda,474,Men's Footwear
7373,7fe4b7d8-c55b-5e42-aa4b-24e4a0793cd0,2599,3.599999905,Lafant,Clothing and Accessories,69,FALSE,VOXATI,799,Winter Wear
6276,7fe68cff-d5f6-5cc8-8ac4-36895f5780a2,399,5,Wab,Clothing and Accessories,17,FALSE,WabbaJea,330,Topwear
